date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:36	23950/23950	---M-Z	200	added ('OK')	text/html	etag:%22155e1327-5d8e-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-pagination.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-pagination.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:36	24239/24239	---M-Z	200	added ('OK')	text/html	etag:%22155e1329-5eaf-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-progress-bars.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-progress-bars.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:36	23227/23227	---M-Z	200	added ('OK')	text/html	etag:%22155e1324-5abb-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-modals.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-modals.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:37	24296/24296	---M-Z	200	added ('OK')	text/html	etag:%22155e131c-5ee8-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-collapse.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-collapse.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:37	24799/24799	---M-Z	200	added ('OK')	text/html	etag:%22155e1317-60df-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-accordion.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-accordion.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:37	24639/24639	---M-Z	200	added ('OK')	text/html	etag:%22155e131b-603f-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-carousel.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-carousel.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:37	24405/24405	---M-Z	200	added ('OK')	text/html	etag:%22155e131e-5f55-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-datepicker.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-datepicker.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:38	24006/24006	---M-Z	200	added ('OK')	text/html	etag:%22155e1328-5dc6-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-popover.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-popover.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:38	23520/23520	---M-Z	200	added ('OK')	text/html	etag:%22155e132a-5be0-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-rating.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-rating.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:38	24907/24907	---M-Z	200	added ('OK')	text/html	etag:%22155e132c-614b-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-tabs.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-tabs.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
